Bar Code,Description,Category Name,Location Name,Serial Number,Manufacturer Name,Division,Department
2000935,B2360DN ,LASER PRINTER,B125,3F2ZSS1,DELL,BUSINESS SERVICES,FINANCIAL AID OFFICE
2000934,B2360DN ,LASER PRINTER,B126,5F2ZSS1,DELL,BUSINESS SERVICES,FINANCIAL AID OFFICE
2000937,B2360DN ,LASER PRINTER,B127,4V1ZSS1,DELL,BUSINESS SERVICES,FINANCIAL AID OFFICE
2001056,B2360DN ,LASER PRINTER,B205,8D2ZSS1,DELL,CAMPUS DIRECTOR,MARKETING
1001280,5350DN,PRINTERS,SE111,HH7V6L1,DELL,INSTRUCTION,ENGLISH/READING
2000884,B5460DN,LASER PRINTER,D207,JHZZ422,DELL,IIT,CCIT 
2001191,C3760DN,COLOR LASER PRINTER,B213B,DNZ6T12,DELL,HUMAN RESOURCES,HUMAN RESOURCES 
1001284,B5460DN,LASER PRINTER,W250,7B50522,DELL,IIT,COMPUTING SUPPORT
2001054,B5460DN,LASER PRINTER,C279,H7ZZ422,DELL,INSTRUCTION,NURSING
2001073,B5460DN,LASER PRINTER,C279,H3ZZ422,DELL,INSTRUCTION,NURSING
2001189,700 M712DN,LASER PRINTER,B231,CNDCGBR06G,HP,INSTRUCTION,ARCHITECTURAL
2001446,B5465DNF,MULTI-FUNCTION PRINTER,E120,DWTGSS1,DELL,INSTRUCTION,MECHANICAL ENGINEERING
2001447,B5465DNF,MULTI-FUNCTION PRINTER,E202,70VGSS1,DELL,INSTRUCTION,BIO SCIENCE
1001531,B5465,MULTI-FUNCTION PRINTER,E214,1BVGSS1,DELL,STUDENT AFFAIRS,DEAN OF STUDENT AFFAIRS 
1001530,B5465,MULTI-FUNCTION PRINTER,E200,C9VGSS1,DELL,STUDENT AFFAIRS,REGISTRAR
2001469,700 M712DN,LASER PRINTER,A230,CNDCGCF0JQ,HP,INSTRUCTION,ARCHITECTURAL
1001573,5130,PRINTERS,E203,F7S26X1,DELL,STUDENT AFFAIRS,REGISTRAR
2001057,B2360DN ,LASER PRINTER,C280,H62ZSS1,DELL,INSTRUCTION,NURSING
1001576,B3465DN,PRINTERS,SE126,8TVGSS1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
1001575,B5465,MULTI-FUNCTION PRINTER,SE125,3QVGSS1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
2001510,C3760DN,COLOR LASER PRINTER,F120,22KXF42,DELL,INSTRUCTION,AUTOMOTIVE
2001512,B5465DNF,MULTI-FUNCTION PRINTER,F120,HVVGSS1,DELL,INSTRUCTION,AUTOMOTIVE
2001513,B5465DNF,MULTI-FUNCTION PRINTER,A165,2TVGSS1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
2001527,SB360,CARD PRINTER,I101,B23762,DATACARD,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,INDUSTRIAL TRAINING
1001599,B3465DN,PRINTERS,E113,71FJSS1,DELL,STUDENT AFFAIRS,CAREER CENTER
2001530,B5460DN,LASER PRINTER,C127,41PFSS1 ,DELL,INSTRUCTION,CULINARY ARTS
1001647,B2360,PRINTERS,E123,5HYY342,DELL,STUDENT AFFAIRS,COUNSELING 
2001538,B3465DNF,MULTI-FUNCTION PRINTER,A228,JYDJSS1,DELL,IIT,SYSTEMS
1001670,B5465,MULTI-FUNCTION PRINTER,E103,71Y0522,DELL,BUSINESS SERVICES,FINANCIAL AID OFFICE
1001671,B5465,MULTI-FUNCTION PRINTER,E400,H4Y0522,DELL,INSTRUCTION,DEAN OF INSTRUCTION
2001541,B5465DNF,MULTI-FUNCTION PRINTER,A164,2QVGSS1,DELL,ADMINISTRATIVE SERVICES,ADMINISTRATIVE SERVICES 
2001573,B5465DNF,MULTI-FUNCTION PRINTER,B135,90Y0522,DELL,INSTRUCTION,DEAN OF INSTRUCTION
1001672,B2360,PRINTERS,SE002F,1X82342,DELL,INSTRUCTION,ALLIED HEALTH
1001682,B2360,PRINTERS,SE040,C3XZ342,DELL,INSTRUCTION,DENTAL HYGIENE
1001683,C3765DNF,PRINTERS,E408,1HRYF42,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
1001680,B2360,PRINTERS,E430,7GYZ342,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
2001639,B5460DN,LASER PRINTER,A146,47PFSS1,DELL,CAMPUS DIRECTOR,CAMPUS DIRECTOR
2000881,B5460DN,LASER PRINTER,A153,JMQFSS1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,COMPUTER INSTITUTE
1001140,B5465,MULTI-FUNCTION PRINTER,E430,J2SFSS1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
1001109,B2360DN ,LASER PRINTER,E430,HQBQSS1,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
1001699,B2360DN ,LASER PRINTER,SE308E,7HG0442,DELL,INSTRUCTION,ALLIED HEALTH
1001056,B5460DN,LASER PRINTER,E200,13VLQ42,DELL,STUDENT AFFAIRS,REGISTRAR
1001700,B2360DN ,LASER PRINTER,SE100,9X5XSS1,DELL,PUBLIC SAFETY,PUBLIC SAFETY
1001684,C3765DNF,COLOR LASER PRINTER,E404,HPRYF42,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
1001704,B2360,PRINTERS,E218,C1P0442,DELL,HUMAN RESOURCES,HUMAN RESOURCES 
1001641,2360DN,LASER PRINTER,E331,BR01442,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
1001714,B3465DN,LASER PRINTER,E110,J4HJSS1,DELL,BUSINESS SERVICES,FINANCIAL AID OFFICE
1001640,B5465,MULTI-FUNCTION PRINTER,E130,FTZLQ42,DELL,STUDENT AFFAIRS,COUNSELING 
1001710,B5465,MULTI-FUNCTION PRINTER,W364,FXZLQ42,DELL,CAMPUS DIRECTOR,INSTITUTIONAL ADVANCEMENT
1001720,B3460DN,LASER PRINTER,E332,D2SX542,DELL,INSTRUCTION,MATHEMATICS
1001721,B3460DN,LASER PRINTER,E436,C2SX542,DELL,ADMINISTRATIVE SERVICES,ADMINISTRATIVE SERVICES 
1001718,B3460DN,LASER PRINTER,SE002C,92SX542,DELL,INSTRUCTION,ALLIED HEALTH
1001719,B3460DN,LASER PRINTER,SE211,62SX542,DELL,INSTRUCTION,ALLIED HEALTH
1001706,B3460DN,LASER PRINTER,W150,51SX542,DELL,INSTRUCTION,COMPUTER INFORMATION SYSTEMS
1001717,B5460DN,LASER PRINTER,W360,9KXLQ42,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
1001716,B5460DN,LASER PRINTER,W357,90XLQ42,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
1001707,B2360DN ,LASER PRINTER,E126,GO GET,DELL,STUDENT AFFAIRS,COUNSELING 
1001722,B2360DN ,LASER PRINTER,E129,GO GET,DELL,STUDENT AFFAIRS,ADMISSIONS
1001708,B2360DN ,LASER PRINTER,E400A,GO GET,DELL,INSTRUCTION,DEAN OF INSTRUCTION
2001854,B3465DNF,MULTI-FUNCTION PRINTER,D103,45HJSS1 ,DELL,STUDENT AFFAIRS,DEAN OF STUDENT AFFAIRS 
2001855,B5465DNF,MULTI-FUNCTION PRINTER,C113,9TZLQ42,DELL,INSTRUCTION,TESTING CENTER
1001723,B5460DN,LASER PRINTER,E409,8TWLQ42,DELL,INSTRUCTION,ALLIED HEALTH
1001724,B5460DN,LASER PRINTER,W356,94YLQ42,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
1001725,B5460DN,LASER PRINTER,W359,96YLQ42,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
1001715,B5465,MULTI-FUNCTION PRINTER,E329,GRZLQ42,DELL,INSTRUCTION,BUSINESS ADMINISTRATION
1001726,B3460DN,LASER PRINTER,E025B,72SX542,DELL,WORKFORCE DEVELOPMENT & COMMUNITY EDUCATION,WORKFORCE DEVELOPMENT
1001931,B5460DN,LASER PRINTER,E336,HB50522,DELL,INSTRUCTION,BUSINESS ADMINISTRATION
2001888,B2360DN ,LASER PRINTER,D145,2Z61442,DELL,INSTRUCTION,CRIMINAL JUSTICE
2001851,B2360DN ,LASER PRINTER,F105,1Z61442,DELL,INSTRUCTION,ELECTRONICS
2001850,B2360DN ,LASER PRINTER,F113,8Y61442,DELL,INSTRUCTION,AUTOMOTIVE
2001863,B2360DN ,LASER PRINTER,F108,6Y61442,DELL,INSTRUCTION,ELECTRONICS
2001869,B3460DN,LASER PRINTER,D202,H8NX542,DELL,INSTRUCTION,LIBRARY
2001864,B3460DN,LASER PRINTER,F101,G9NX542,DELL,INSTRUCTION,ELECTRONICS
